,city,job_title,company_name,location,summary,salary
120,Atlanta,Supply Chain Data Scientist,Clorox,"Alpharetta, GA 30022","Experience extracting, moving, organizing and staging data. Strong working knowledge of multiple data management systems (e.g....",Nothing_found
121,Dallas,Cyber Security Data Scientist,Citi,"Irving, TX",ACD is looking for a cyber security data scientist to develop solutions to complex predictive analytic problems from multiple data sources available in the Citi...,Nothing_found
122,Dallas,Principal Clinical Research Scientist Neuromodulation,ABBOTT LABORATORIES,"Plano, TX",Data integration across platforms and knowledge transfer from pre-clinical experiments to clinical trials. Minimum qualification for this position is a Master’s...,Nothing_found
123,Dallas,Data Visualization Specialist,WorldLink,"Frisco, TX 75034","Data Visualization Specialist. Conceptualize, design and develop data visualization solutions that incorporate complex data concepts into clear data-driven...",Nothing_found
124,Dallas,Statistical Programmer,Exeter Finance LLC,"Irving, TX 75039",Ensure data accuracy by developing processes for identifying data anomalies or logical errors. Prefer prior experience working with credit bureau data....,Nothing_found
125,Dallas,IT Project Manager,NBI Resources,"Richardson, TX",Our core team of Computer scientists and Data Engineers have a passion for building tools that solve our clients most challenging and complex technical problems...,Nothing_found
126,Dallas,Senior Data Engineer,"InfoSpace, Inc.","Irving, TX","Establish lean data governance to drive data standards and data quality. Define and build technical/data architecture for data warehouse, data marts and big...",Nothing_found
127,Dallas,Data Scientist,"ReqRoute,Inc","Dallas, TX","Doctoral Degree or 2+ years of professional data scientist experience. Build a large scale Big Data platform and tools in all aspects, from data collection to...",Nothing_found
128,Dallas,Sr. Tensor Flow consultant (Machine Learning),L&T Infotech,"Dallas, TX",Overall 5+ years of experience. Working as a Consultant for Customer towards guiding and leading in the space of Machine Learning using TensorFlow....,Nothing_found
129,Dallas,Data Scientist,Axelon Services Corporation,"Plano, TX",Performs data studies of new and diverse data sources. Strategizes new uses for data and its interaction with data design....,Nothing_found
